,Time,T2s_1s,W10s_1s,Wds_1s
0,2018-03-02 02:00:00,14.227386,8.251459,349.30142
1,2018-03-13 03:00:00,13.51709,4.1707025,350.94763
2,2018-03-15 19:00:00,21.962189,5.6452646,9.201721
3,2018-03-20 15:00:00,18.456543,4.376353,359.7375
4,2018-03-25 23:00:00,9.649078,1.4447209,237.07564
5,2018-03-29 04:00:00,11.141174,3.8035533,327.2385
6,2018-03-12 13:00:00,14.087402,1.1976618,178.30176
7,2018-03-24 05:00:00,13.404236,4.7962046,349.25037
8,2018-03-13 01:00:00,14.321136,8.860697,9.208954
9,2018-03-30 14:00:00,13.640259,1.9654161,189.52786
10,2018-03-07 00:00:00,13.293152,1.6655278,239.6455
11,2018-03-30 03:00:00,10.256165,0.10543889,156.9349
12,2018-03-13 17:00:00,21.575958,8.00416,10.798584
13,2018-03-04 16:00:00,17.536346,8.514461,1.7275391
14,2018-03-10 23:00:00,16.138885,4.8032794,5.8690796
15,2018-03-31 03:00:00,9.161926,3.7998204,336.99954
16,2018-03-01 23:00:00,15.777954,9.105397,4.89093
17,2018-03-05 00:00:00,15.915955,5.6732087,354.7584
18,2018-03-13 10:00:00,12.66745,4.77403,25.087845
19,2018-03-30 02:00:00,10.8237915,2.4387796,219.9118
20,2018-03-15 22:00:00,17.835999,7.080853,6.0552063
21,2018-03-13 20:00:00,21.234161,7.502981,14.904907
22,2018-03-08 21:00:00,15.438477,5.638735,15.608276
23,2018-03-07 08:00:00,10.492889,1.0040518,222.80478
24,2018-03-30 13:00:00,12.426636,1.8987057,218.89261
25,2018-03-17 17:00:00,20.475128,6.415167,8.342651
26,2018-03-08 01:00:00,11.862976,0.5724998,160.84235
27,2018-03-30 01:00:00,11.296997,3.4993227,334.38538
28,2018-03-18 15:00:00,20.61914,7.969231,7.6314697
29,2018-03-01 19:00:00,19.902405,3.1420836,326.8446
30,2018-03-28 11:00:00,9.03363,1.8504356,53.956467
31,2018-03-30 11:00:00,8.30603,1.693877,29.226196
32,2018-03-23 07:00:00,12.695251,4.9181027,358.1425
33,2018-03-18 01:00:00,15.771881,2.8869977,0.51364136
34,2018-03-07 11:00:00,9.671875,0.6235136,23.726532
35,2018-03-10 14:00:00,14.012939,1.9210069,189.5802
36,2018-03-11 07:00:00,13.503815,1.9846448,6.3966675
37,2018-03-23 10:00:00,12.357666,5.746034,10.1362915
38,2018-03-14 17:00:00,21.890503,7.411119,6.0183716
39,2018-03-30 21:00:00,13.123505,0.7219231,261.1237
40,2018-03-02 16:00:00,18.81546,4.6814027,341.28482
41,2018-03-03 05:00:00,13.492126,1.6538646,225.54356
42,2018-03-19 23:00:00,15.703888,4.2499623,10.649536
43,2018-03-08 05:00:00,11.713989,0.6143092,214.16177
44,2018-03-14 19:00:00,21.4133,9.030639,8.6604
45,2018-03-28 02:00:00,10.297638,2.527124,357.56445
46,2018-03-05 19:00:00,20.204712,3.6694422,350.96375
47,2018-03-18 14:00:00,20.197784,3.8487825,356.73087
48,2018-03-29 10:00:00,8.894592,0.9183082,223.6821
49,2018-03-12 22:00:00,16.960144,6.8283296,10.05368
50,2018-03-04 19:00:00,16.422913,8.958119,357.41452
51,2018-03-15 07:00:00,14.439575,3.0065703,56.874283
52,2018-03-03 00:00:00,14.685699,10.010619,359.49203
53,2018-03-16 17:00:00,20.517914,1.249696,342.48044
54,2018-03-24 04:00:00,13.74118,7.767665,14.985016
55,2018-03-26 15:00:00,15.5217285,5.1846437,2.730072
56,2018-03-21 09:00:00,12.367828,1.1017635,354.6444
57,2018-03-29 11:00:00,8.832153,0.06580315,6.739929
58,2018-03-06 10:00:00,11.944366,0.44758764,288.32498
59,2018-03-11 10:00:00,12.446259,0.4046516,271.72678
60,2018-03-20 22:00:00,15.693176,9.829041,15.358994
61,2018-03-08 03:00:00,12.265533,0.73788965,187.40515
62,2018-03-15 15:00:00,20.02655,3.329413,3.3078918
63,2018-03-24 23:00:00,15.169586,8.1540365,10.511414
64,2018-03-12 04:00:00,14.004761,6.409181,351.9774
65,2018-03-30 15:00:00,13.714508,4.234183,183.84576
66,2018-03-22 10:00:00,12.622437,2.1197493,15.469116
67,2018-03-19 07:00:00,13.188812,4.0151052,11.065002
68,2018-03-13 08:00:00,13.71582,0.99682266,337.91724
69,2018-03-08 00:00:00,12.270355,1.5158445,353.08936
70,2018-03-11 22:00:00,18.448639,2.801444,342.3212
71,2018-03-26 20:00:00,13.317108,10.326985,10.91452
72,2018-03-18 05:00:00,14.504181,7.60102,13.974426
73,2018-03-22 03:00:00,12.405182,9.352777,3.4245605
74,2018-03-22 12:00:00,14.686127,1.8709666,200.61772
75,2018-03-12 17:00:00,20.46408,4.6140842,203.59415
76,2018-03-24 06:00:00,13.77829,4.352857,359.93848
77,2018-03-03 06:00:00,13.420074,2.0927455,226.54826
78,2018-03-03 01:00:00,14.344513,6.6529984,322.8239
79,2018-03-07 23:00:00,12.825043,0.68865025,336.6303
80,2018-03-18 09:00:00,13.563965,4.750074,11.563416
81,2018-03-01 00:00:00,15.086517,4.9682956,10.648254
82,2018-03-25 08:00:00,13.175812,0.08637351,297.62894
83,2018-03-03 02:00:00,15.026733,2.4510086,352.62592
84,2018-03-03 19:00:00,17.765717,11.986394,6.3062744
85,2018-03-19 17:00:00,21.151428,5.4619365,212.08374
86,2018-03-02 12:00:00,13.703125,0.93247694,108.31546
87,2018-03-30 07:00:00,8.821136,0.9453626,301.12274
88,2018-03-07 16:00:00,17.352661,2.806986,199.40604
89,2018-03-05 13:00:00,14.60199,0.18396883,174.2047
90,2018-03-29 20:00:00,15.701843,3.0983703,349.11642
91,2018-03-12 14:00:00,16.318085,1.1150086,217.54123
92,2018-03-24 00:00:00,15.189697,6.309576,4.6405334
93,2018-03-20 13:00:00,16.210907,0.55729014,7.1085815
94,2018-03-13 22:00:00,16.90503,9.321121,9.4505005
95,2018-03-02 21:00:00,17.257324,8.383102,11.479004
96,2018-03-01 04:00:00,13.21051,0.57952255,203.98087
97,2018-03-14 13:00:00,17.673431,1.0189602,188.88556
98,2018-03-16 04:00:00,14.160095,4.04502,350.56406
99,2018-03-28 08:00:00,9.84494,0.68772817,194.88245
100,2018-03-09 13:00:00,15.413605,0.70180815,207.7301
101,2018-03-28 23:00:00,12.471008,2.2137887,324.96027
102,2018-03-07 12:00:00,11.417114,0.21011563,222.32878
103,2018-03-31 16:00:00,16.406616,3.4324975,217.51567
104,2018-03-02 17:00:00,19.669708,5.1493645,349.86447
105,2018-03-22 08:00:00,11.935883,2.5608854,344.00842
106,2018-03-28 17:00:00,16.576355,8.299221,4.647339
107,2018-03-23 13:00:00,17.445984,4.524014,358.28925
108,2018-03-20 18:00:00,21.632996,4.512868,183.20508
109,2018-03-29 22:00:00,13.894257,3.1414423,326.30353
110,2018-03-15 05:00:00,14.230988,0.93498695,76.291534
111,2018-03-19 03:00:00,14.546692,5.347101,0.88235474
112,2018-03-29 02:00:00,12.429413,0.8940408,169.17188
