,Time,T2s_1s,W10s_1s,Wds_1s
0,2018-03-02 02:00:00,13.607452,7.979386,342.757
1,2018-03-13 03:00:00,13.25058,6.696433,4.3177185
2,2018-03-15 19:00:00,20.404999,10.141125,8.224457
3,2018-03-20 15:00:00,18.529205,4.977426,356.98895
4,2018-03-25 23:00:00,10.727661,0.7705625,180.93668
5,2018-03-12 13:00:00,14.315155,1.1090854,185.4132
6,2018-03-24 05:00:00,13.380249,3.2719,332.25723
7,2018-03-13 01:00:00,14.804138,4.6609573,355.9762
8,2018-03-07 00:00:00,13.695709,3.721609,337.67102
9,2018-03-13 17:00:00,20.577942,8.854374,10.192322
10,2018-03-04 16:00:00,18.68515,9.405699,4.024536
11,2018-03-10 23:00:00,15.636475,5.0834227,2.8441162
12,2018-03-01 23:00:00,14.864838,8.043929,357.1263
13,2018-03-05 00:00:00,16.187592,5.4482827,4.7374573
14,2018-03-13 10:00:00,12.780304,0.891089,76.75369
15,2018-03-15 22:00:00,16.874207,9.950408,11.030762
16,2018-03-13 20:00:00,20.660126,7.294918,14.04454
17,2018-03-08 21:00:00,17.542786,8.989774,11.034973
18,2018-03-07 08:00:00,9.695618,0.64122844,68.87587
19,2018-03-17 17:00:00,20.308685,8.627771,12.075439
20,2018-03-08 01:00:00,13.209686,4.2628965,326.65845
21,2018-03-18 15:00:00,20.234802,7.960394,5.617981
22,2018-03-01 19:00:00,18.087585,10.809975,8.04657
23,2018-03-23 07:00:00,13.153229,7.296139,9.62616
24,2018-03-18 01:00:00,15.764191,7.691064,6.212219
25,2018-03-07 11:00:00,9.433319,0.92331433,212.19258
26,2018-03-10 14:00:00,13.53421,4.1203227,334.18488
27,2018-03-11 07:00:00,13.03894,4.829069,11.093445
28,2018-03-23 10:00:00,13.073639,2.8036928,346.18
29,2018-03-14 17:00:00,21.083252,4.3407183,356.50964
30,2018-03-02 16:00:00,18.287994,3.5636802,1.9000854
31,2018-03-03 05:00:00,12.794983,7.9617715,342.29642
32,2018-03-19 23:00:00,14.243164,4.6266527,347.80746
33,2018-03-08 05:00:00,11.787598,0.8690231,179.89798
34,2018-03-14 19:00:00,20.706207,9.44847,3.553711
35,2018-03-05 19:00:00,20.254303,3.4114866,182.01392
36,2018-03-18 14:00:00,19.551605,1.9634463,334.09082
37,2018-03-12 22:00:00,17.545288,3.5033715,345.7376
38,2018-03-04 19:00:00,18.6409,11.270466,5.2059326
39,2018-03-15 07:00:00,14.734772,5.0224447,348.46945
40,2018-03-03 00:00:00,13.852234,7.4441724,331.93857
41,2018-03-16 17:00:00,20.304596,6.7504487,2.2790222
42,2018-03-24 04:00:00,14.816223,8.639911,2.3821106
43,2018-03-26 15:00:00,15.327911,2.6308415,204.35483
44,2018-03-21 09:00:00,11.661957,1.5126977,206.36212
45,2018-03-06 10:00:00,11.724518,0.43718064,264.97614
46,2018-03-11 10:00:00,13.375641,2.0194368,29.061615
47,2018-03-20 22:00:00,17.12857,3.8575013,2.2940063
